title,url,abstract
The Risk of Value Capture for AI Psychotherapy Chatbots,https://link.springer.com/article/10.1007/s13347-026-01057-w,"As part of the expansion of digital mental healthcare and the growing attention towards artificial intelligence in psychiatry, Large Language Models (LLMs) are being explored as devices for the delivery of psychotherapy. In this paper I consider what it would take for LLM-based psychotherapy chatbots to be effective, and argue that this question leads to a deep and difficult problem: the threat of value capture . In short, there is a risk of these systems becoming overly optimized towards improving outcomes on simplified, standardized psychometric scales. This may cause the systems to guide users towards adopting values which have been constructed based on convenience for institutions and developers, rather than fostering the type of self-reflection that would yield values better tailored to an individual. I outline the concept of value capture, explain how it applies to this context, and motivate the idea that it is a problem we should be concerned about. I then give suggestions about how the problematic aspects of value capture in the case of LLM psychotherapy chatbots can be at least partly mitigated."
"AI-generated Literature, Distant Writing and the Reader: Reflections on Floridi and Calvino",https://link.springer.com/article/10.1007/s13347-025-01008-x,"Bringing Luciano Floridi’s conceptions of distant writing and narrative isotropy in connection with Italo Calvino’s praxis and philosophy of literature yields a fundamental insight into the virtual interaction (the spasmodic tango) of human and Large Language Model (LLM) in the production of literary texts. Floridi’s concept of ‘distant writing’ is a methodology for using LLMs to produce text, with the writer taking on the role of designer, rather than producer, of the text. Floridi conceptualizes the ‘boundless narrative isotropy’ of distant writing as: “the principle that any narrative domain is equally workable in any direction, provided coherence is maintained”. Calvino’s work provides metaphorical models of isotropic narrative exploration that emphasize both the potential of distant writing and the importance of the reader for the constitution of literature, thereby anticipating Floridi’s conclusions. By exploring the mapping of Floridi’s LLM and Calvino’s tarot decks onto the explication of distant writing the paper shows that there is continuity between close and distant writing. Distant writing as process of literary production aligns with Calvino’s creative practice and vision of a combinatorial writing in which a machine could replace the human writer: Calvino’s practice is the disautomated counterpart of distant writing. The result is the navigation of narrative space, while maintaining narrative isotropy: a de-anthropomorphized conception of what it is to produce narrative literature that undermines any technological exceptionalism about LLMs' narrative capabilities, and refutes Floridi’s idea of a qualitatively new access to narrative modality via LLMs. Finally, this conclusion is connected to the multiplicity of reading and an informational conception of authorship; the problem of automating cultural universalism is raised; and literary reductionism is conceptualized as threat for the AI-generated literature to come."
The bewitching AI: The Illusion of Communication with Large Language Models,https://link.springer.com/article/10.1007/s13347-025-00893-6,"We investigate the ‘bewitchment’ of understanding interactions between humans and systems based on large language models (LLMs) inspired by Wittgenstein’s later view on language. This framework is particularly apt for analyzing human-LLM interaction as it treats understanding as a public phenomenon manifested in observable communicative practices, rather than as a mental or computational state—an approach especially valuable given LLMs’ inherent opacity. Drawing on this perspective, we show that successful communication requires not merely regularity in language use, but constancy in maintaining reference points through agreement in both definitions and judgments. Crucially, LLMs lack the constancy needed to track negations and contradictions throughout a dialogue, thereby disrupting the reference points necessary for genuine communication. The apparent understanding in human-LLM interactions arises from what we characterize as a ‘bewitchment’: the interaction between LLMs’ statistical adherence to linguistic patterns and humans’ tendency to blindly follow familiar language games. Moreover, when interaction with LLMs is based on stereotyped contexts in which the system seems capable of identifying reference points, we humans automatically apply the practical principle that there is understanding until proven otherwise. The bewitchment becomes thus more profound as LLMs improve in modeling stereotypical aspects of human interaction. This improvement, far from addressing the highlighted limitations, can only deepen the illusion of understanding, raising significant concerns for meaningful control over such systems."
"Reinforcement Learning from Human Feedback in LLMs: Whose Culture, Whose Values, Whose Perspectives?",https://link.springer.com/article/10.1007/s13347-025-00861-0,"We argue for the epistemic and ethical advantages of pluralism in Reinforcement Learning from Human Feedback (RLHF) in the context of Large Language Models (LLMs). Drawing on social epistemology and pluralist philosophy of science, we suggest ways in which RHLF can be made more responsive to human needs and how we can address challenges along the way. The paper concludes with an agenda for change, i.e. concrete, actionable steps to improve LLM development."
Red Reading The Text: On How To Red Team Texts Using LLMs,https://link.springer.com/article/10.1007/s13347-025-00955-9,"This article introduces a systematic methodology, called red reading , for critical textual analysis that adapts red teaming techniques from computer science and artificial intelligence (AI) into a comprehensive diagnostic protocol, supported by Large Language Models (LLMs), to analyse written documents. As the methodological counterpart of distant writing , which transforms text production through AI-assisted design, red reading expands human analytical capabilities and critical reading by embedding adversarial analysis in a constructive framework powered by LLMs. The approach employs a rigorously tested, diagnostic protocol that stress-tests texts across structural, rhetorical, logical, and stylistic dimensions, while strengthening interpretive understanding. The methodology shows how LLM-supported, textual red teaming can provide a rigorous, critical and constructive approach to textual analysis with broad applications across disciplines. We exemplify the method by developing a fifteen-phase diagnostic prompt for red reading. In the Appendix, we apply this protocol to a case study analysing Turing’s seminal article, Computing Machinery and Intelligence . We finally discuss the challenges of using red reading and provide some suggestions for future research. In particular, we emphasise the importance of calibration methods for LLMs’ critical analysis, along with evidence-based strategies for seamlessly integrating red reading into real-world workflows."
Co-authoring Apologies with ChatGPT Can Support Relationships but not Second-Person Authenticity: A Reply to Lavazza,https://link.springer.com/article/10.1007/s13347-025-00901-9,"In this paper, I offer a reply to Lavazza (2025), who states that using an LLM as a co-author to apologize to a partner – far from compromising second-person authenticity – can improve relational morality. I agree that some valuable aspects of the relationship may be enhanced in the co-authorship context; however, the second-person authenticity standard cannot still be adequately met. At best, using ChatGPT as a co-author might be compatible with a scenario in which the second-person authenticity assessment is suspended and postponed to a later point in time; this allows us to capture a potential diachronic dimension in such an assessment that has not yet been explored. In the remainder of the article, I criticize Lavazza’s Kantian argument and offer some clarifications on the analogy between using ChatGPT and friend-suggested communication, as well as on the terminology used."
Inauthentic Value Shifts Induced by AI Decision–Support? A WEIRD Concern,https://link.springer.com/article/10.1007/s13347-025-00981-7,"Some decision-support systems — increasingly powered by AI — are designed to assist skilled professionals in their domain of expertise. When evaluating such systems, should we treat users’ potential inauthentic value shifts as a design risk? Buijsman et al., ( 2025 ; hereafter “BCB”) interestingly argue in this context as follows: “While there is not much agreement about what makes value shifts authentic (Feldman & Hazlett, 2013; Taylor, 1992), one plausible basic condition is that the agent should be able to become aware of the value shift. That is because the person can judge to what extent the shift fits with who they are only if it is consciously accessible. More precisely, unless the agent is in principle able to become aware of a shift in their values, they cannot tell whether it supports or undermines their practical identity (i.e., the person’s most central commitments and values which structure the way the agent sees the world, deliberates, and acts (Christman et al., 2014; Korsgaard, 1996)) […] if such inaccessible value shifts accumulate through time, the human decision-maker may change their value set in ways that erode autonomy by undermining authenticity diachronically, i.e. by leading the agent to adopt inauthentic values” [8–9]. Footnote 1 “Many have flagged the prevalence of mostly WEIRD (Western, Educated, Industrial, Rich, Developed, Henrich et al., 2010) values in LLMs. […] those of non-WEIRD backgrounds are especially at risk of acquiring values that are not in accordance with their practical identity” [10]. In this commentary on BCB, Section 2 critically examines whether we should consider such unconscious inauthentic value shifts as an independent design risk of decision-support systems for skilled professionals. A positive answer would carry practical implications, at least for designers and regulators. In particular, BCB argue that due to this design risk, such systems should be adaptive to the users’ existing personal or communal values. Section 3 responds to this recommendation. Footnote 2 To avoid complications that require separate discussions, I bracket several conceptual questions and worries about BCB’s characterization of inauthentic value shifts . Footnote 3 My arguments apply to any characterization that (a) treats inauthenticity as a necessary consequence of unawareness of the shift, and (b) does not entail any objective moral or epistemic shortcoming (such as difficulties justifying one’s new values properly). Footnote 4 Other forms of user inauthenticity lie beyond the scope of this commentary."
Beyond ‘Basic’ AI-Animal Alignment,https://link.springer.com/article/10.1007/s13347-026-01039-y,"In their article ‘AI Alignment: The Case for Including Animals’, Tse et al. compellingly argue for extending alignment endeavours beyond humans to also protect sentient animals. They call for AI alignment with a ‘basic’ level of animal welfare. Since ‘basic’ alignment carries minimal human cost, they argue, it can be widely accepted and is thus currently more strategically appropriate than is pursuing advanced or ideal alignment with animal welfare. This commentary paper argues that ‘basic’ AI alignment for animals is sometimes insufficient. It makes the case that going beyond basic AI-animal alignment is both feasible and morally required in a variety of circumstances."
"Bullshit, Sophism, and ChatGPT",https://link.springer.com/article/10.1007/s13347-025-00977-3,"A recent article (ChatGPT is Bullshit (Partly) Because People are Bullshitters) re-emerged the debate over the use of large language models (LLMs) like ChatGPT. Emphasising the user-subject, Licon ( 2025 ) argued that ChatGPT mediates reputation and fake intelligence to engage in bullshit markets. In short, the singularity of the user and ChatGPT together constitutes bullshit. To engage in this discussion, we associate bullshit with sophistry. First, we interpret ChatGPT as having a function identical to sophistry, with the ability to select every piece of data but without the burden of source validity. Second, we expand the discussion to how human subjects polish and transmit bullshit into rhetorical truth. As with Frankfurt, bullshit is essentially the subject’s deliberate falsification of information without any consideration of truth, and in achieving this goal, ChatGPT is merely a rhetorically convincing facilitator. By combining the rhetorical tradition of the sophists and the Frankfurt concept of bullshit, this article expands the retrospective discussion of ignorance and falsehood in the age of information technology."
The Apt Curation Model and the Need for More Conceptual Ethics of AI and Authorship,https://link.springer.com/article/10.1007/s13347-026-01050-3,"In “The Apt Curation Model: An Epistemic Virtue Theory of AI-assisted Authorship” ( Philosophy & Technology 39 (2026)) Tiegue Vieira Rodrigues argues that we should conceive of the author in AI-supported processes as an apt curator of texts. He pleads for extending the accurate-adroit-apt framework towards human-AI authorship and developing four curatorial virtues: dialogical, evaluative, integrative, and architectural. This ‘Apt Curation Problem’ solves the problems constituted by the lack of a locus for the epistemic and semantic properties of authorship in the case of AI-assisted text production. In this commentary on Rodrigues’ article, I aim to do three things: (1) summarize and praise the article; (2) reframe the apt curation model as a possible move in the conceptual engineering of AI and authorship; and (3) I argue that the apt curation model stands in need of more conceptual ethics – the metaphilosophical practice of giving reasons for the (sustained) use of a concept. Before we can accept new models of authorship, we still have to weigh our concerns and goals associated with construing authorship in the context of AI in Rodrigues’ way, against other concerns and goals that might drive other conceptualizations, given our current capacities and circumstances."
The Apt Curation Model: An Epistemic Virtue Theory of AI-Assisted Authorship,https://link.springer.com/article/10.1007/s13347-026-01038-z,"Luciano Floridi’s concept of distant writing – which is the textual production mediated by generative AI – has presented us with a challenge to traditional accounts of authorship and epistemic agency. In this paper, we analyze the epistemological consequences of this new paradigm, arguing that distant writing reframes rather than diminishes the author’s role, shifting epistemic competence from direct composition to second-order curatorial acts: architectural design, dialogical refinement, evaluative verification, and integrative synthesis. Applying Ernest Sosa’s virtue epistemology, we develop the Apt Curation Model , which positions the human author as the central epistemic agent, not as sentence originator, but as virtuous curator whose competence makes the text an apt epistemic performance. We rebut the opacity objection that AI’s inscrutability reduces authorship to epistemic luck, demonstrating through Floridi’s Levels of Abstraction that curatorial virtues constitute responsible engagement. We conclude by examining domain specificity and identifying implications for pedagogy and intellectual property law."
ChatGPT is Bullshit (Partly) Because People are Bullshitters,https://link.springer.com/article/10.1007/s13347-025-00907-3,"In a recent article (‘ChatGPT is bullshit’), the authors argue that large language models (LLMs) like ChatGPT generate bullshit—a philosophical term coined by philosopher Harry Frankfurt that picks out convincing, but truth-insensitive content. The authors argue LLMs like ChatGPT are bullshitting machines. Here I defend a complementary account of why LLMs like ChatGPT produce bullshit: LLMs like ChatGPT are bullshit (partly) because people are bullshitters. Given that LLMs like ChatGPT predict and generate text based on large quantities of data from human language users, LLMs like ChatGPT would naturally reflect that fact—bullshit in, bullshit out. This paper then explores the incentives for people to bullshit—to manage reputations, to signal their intelligence, and to participate in the marketplace for bullshit—along with why such incentives will likely motivate people to use LLMs like ChatGPT to better bullshit each other."
Undead Signs: On the Possibility of a Computational Illusion of Meaning,https://link.springer.com/article/10.1007/s13347-025-00995-1,"The position that the output by computational models of language, especially Large Language Models (LLMs), has meaning is usually criticized on the basis of the argument that the models do not have access to the objects to which the produced linguistic signs refer to. In this paper, I will show that a more principled argument is needed in order to distinguish between the actual language use by human beings and the simulation of it in LLMs. I will defend the position that we should view the latter’s outputs as strings of undead signs, i.e. signs that are not themselves already meaningful, but are generated in a way that makes it seem as if they were. From this results the novel phenomenon of a computational illusion of meaning, which is characterized by the large-scale automated production of undead signs."
ChatGPT and the Technology-Education Tension: Applying Contextual Virtue Epistemology to a Cognitive Artifact,https://link.springer.com/article/10.1007/s13347-024-00701-7,"According to virtue epistemology, the main aim of education is the development of the cognitive character of students (Pritchard, 2014 , 2016 ). Given the proliferation of technological tools such as ChatGPT and other LLMs for solving cognitive tasks, how should educational practices incorporate the use of such tools without undermining the cognitive character of students? Pritchard ( 2014 , 2016 ) argues that it is possible to properly solve this ‘technology-education tension’ (TET) by combining the virtue epistemology framework with the theory of extended cognition (EXT) (Clark and Chalmers, 1998 ). He argues that EXT enables us to consider tools as constitutive parts of the students’ cognitive system, thus preserving their cognitive character from technologically induced cognitive diminishment. The first aim of this paper is to show that this solution is not sufficient to solve the TET. Second, I aim to offer a complementary and more encompassing framework of tool-use to address the TET. Then, I apply it to the educational uses of ChatGPT as the most notable example of LLM, although my arguments can be extended to other generative AI systems. To do so, in Sect. 1.1 , I present Pritchard’s framework of cognitive character and virtue epistemology applied in education, to which I am committed in this treatment. In Sects. 2 and 3 , I respectively illustrate Pritchard’s ( 2014 ) solution to the TET, and I highlight the general limitations of his proposal. Thus, in Sect. 4.1 I characterize ChatGPT as a computational cognitive artifact using Fasoli’s (Fasoli, 2017 , 2018 ) taxonomy of cognitive artifacts. In Sect. 4.2 , I introduce my proposal, which combines Pritchard’s account of virtue epistemology with Fasoli’s ( 2017 , 2018 ) taxonomy of cognitive artifacts to address the TET. Finally, in Sect. 5.1 , I present some epistemically virtuous uses of ChatGPT in educational contexts. To conclude, I argue in favor of a multidisciplinary approach for analyzing educational activities involving AI technologies such as ChatGPT."
Inauthentic Value Shifts: More than Manipulation,https://link.springer.com/article/10.1007/s13347-025-01018-9,Not applicable.
"On Sophistry, Signaling, and the Persistence of Bullshit: Reply to “Bullshit, Sophism, and ChatGPT”",https://link.springer.com/article/10.1007/s13347-025-00991-5,"This paper is a short commentary on 'Bullshit, Sophism. and ChatGPT' where I argue that the sophistry explains some of the bullshit interaction between LLMs and human users and that reputational dynamics and incentives help explain the sophistry."
Language Models’ Hall of Mirrors Problem: Why AI Alignment Requires Peircean Semiosis,https://link.springer.com/article/10.1007/s13347-025-00975-5,"This paper examines some limitations of large language models (LLMs) through the framework of Peircean semiotics. We argue that basic LLMs exist within a “hall of mirrors,” reflecting only the linguistic surface of training data without indexical grounding in a shared external world, and manipulating symbols without participation in socially-mediated epistemology. We then argue that newer developments, including extended context windows, persistent memory, and mediated interactions with reality, are moving towards making newer Artificial Intelligence (AI) systems into genuine Peircean interpretants, and conclude that LLMs may be approaching this goal, and we identify no fundamental architectural barriers that would prevent this. This lens reframes a central challenge for AI alignment: without grounding in the semiotic process, a model’s linguistic encoding of goals may diverge from real-world values. By synthesizing Peirce’s pragmatic view of signs, contemporary discussions of AI alignment, and recent work on relational realism, we illustrate a fundamental epistemological and practical challenge to AI safety and point to part of a solution."
